dataset_id,path,task_id,stage,status
annual-ice-days,derived/temperature/ice-days,ice-days,temperature,canonical
annual-lswt,derived/temperature/annual-lswt,annual-lswt,temperature,canonical
annual-stl-nt99,derived/temperature/annual-stl/period12_robustfalse_ni5_no0_nt99,annual-stl,temperature,canonical
era5-forcing-summary,derived/experimental/era5-forcing-summary,era5-forcing-summary,experimental,experimental
era5-lake-forcing,derived/experimental/era5-lake-forcing,era5-lake-forcing,experimental,experimental
era5-land,raw/era5-land,external,external,external
geographic-context,derived/metrics/geographic-context,geographic-context,metrics,canonical
glast-daily,raw/glast-per-lake,external,external,external
lake-metadata,derived/foundation/lake-metadata,lake-metadata,foundation,canonical
monthly-ice-days,derived/temperature/ice-days,ice-days,temperature,canonical
monthly-lswt,derived/temperature/monthly-lswt,monthly-lswt,temperature,canonical
monthly-stl-nt99,derived/temperature/monthly-stl/period12_robustfalse_ni5_no0_nt99,monthly-stl,temperature,canonical
pca-robustness-suite,derived/pathways/pca-robustness-suite,pca-robustness-suite,pathways,canonical
seasonal-lag-surface,derived/context/seasonal-lag-surface,seasonal-lag-surface,context,exploratory
seasonal-lswt,derived/temperature/annual-lswt,annual-lswt,temperature,canonical
seasonal-teleconnection-screen,derived/context/seasonal-teleconnection-screen,seasonal-teleconnection-screen,context,exploratory
selected-teleconnection-association,derived/context/selected-teleconnection-association,selected-teleconnection-association,context,exploratory
spatial-pca,derived/pathways/spatial-pca,spatial-pca,pathways,canonical
teleconnection-indices,raw/teleconnection,external,external,external
trajectory-diagnostics,derived/pathways/trajectory-diagnostics,trajectory-diagnostics,pathways,canonical
trend-significance,derived/metrics/trend-significance,trend-significance,metrics,canonical
warming-metrics,derived/metrics/warming-metrics/period12_robustfalse_ni5_no0_nt99,warming-metrics,metrics,canonical
